Currency HolidaysCurrency= CNY,Year= 2027Year,Month,Day,Name
2027,JAN,01,New Year
2027,FEB,05,Chinese New Year Eve
2027,FEB,06,Chinese New Year
2027,FEB,07,Chinese New Year
2027,FEB,08,Chinese New Year
2027,FEB,09,Chinese New Year
2027,FEB,10,Chinese New Year
2027,FEB,11,Chinese New Year
2027,APR,05,Ching Ming
2027,APR,30,Fri before May Day Holiday
2027,MAY,01,May Day Holiday
2027,JUN,09,Dragon Boat Festival
2027,SEP,15,Mid Autumn Festival
2027,OCT,01,National Holiday
2027,OCT,02,National Holiday
2027,OCT,03,National Holiday
2027,OCT,04,National Holiday
2027,OCT,05,National Holiday
2027,OCT,06,National Holiday
2027,OCT,07,National Holiday
2027,DEC,31,Fri before New Year
