Currency HolidaysCurrency= CNY,Year= 2013Year,Month,Day,Name
2013,JAN,01,New Year
2013,FEB,09,Chinese New Year Eve
2013,FEB,10,Chinese New Year
2013,FEB,11,Chinese New Year
2013,FEB,12,Chinese New Year
2013,FEB,13,Chinese New Year
2013,FEB,14,Chinese New Year
2013,FEB,15,Chinese New Year
2013,APR,04,Tomb Sweeping Day
2013,APR,05,Tomb Sweeping Day [Bridge]
2013,MAY,01,May Day Holiday
2013,SEP,19,Mid Autumn Festival
2013,SEP,20,Mid Autumn Festival [Bridge]
2013,OCT,01,National Holiday
2013,OCT,02,National Holiday
2013,OCT,03,National Holiday
2013,OCT,04,National Holiday
2013,OCT,05,National Holiday
2013,OCT,06,National Holiday
2013,OCT,07,National Holiday
