Currency HolidaysCurrency= JOD,Year= 2017Year,Month,Day,Name
2017,JAN,01,New Year
2017,MAY,01,Labour Day
2017,MAY,25,Independence Day
2017,JUN,24,Eid Al Fitr [Estimated]
2017,JUN,25,Eid Al Fitr [Estimated]
2017,JUN,26,Eid Al Fitr [Estimated]
2017,JUN,27,Eid Al Fitr [Estimated]
2017,AUG,31,Eid Al Adha [Estimated]
2017,SEP,01,Eid Al Adha [Estimated]
2017,SEP,02,Eid Al Adha [Estimated]
2017,SEP,03,Eid Al Adha [Estimated]
2017,SEP,04,Eid Al Adha [Estimated]
2017,SEP,21,Hijri New Year [Estimated]
2017,NOV,30,Mawlid An Nabi [Estimated]
2017,DEC,25,Christmas
