Currency HolidaysCurrency= QAR,Year= 2025Year,Month,Day,Name
2025,JAN,01,Financial Year Closing
2025,FEB,11,National Sports Day
2025,MAR,02,Banks Holiday
2025,MAR,30,Id Al Fitr [Estimated]
2025,MAR,31,Id Al Fitr [Estimated]
2025,APR,01,Id Al Fitr [Estimated]
2025,JUN,05,Id Al Adha [Estimated]
2025,JUN,06,Id Al Adha [Estimated]
2025,JUN,07,Id Al Adha [Estimated]
2025,JUN,08,Id Al Adha [Estimated]
2025,DEC,18,National Day
