Currency HolidaysCurrency= QAR,Year= 2029Year,Month,Day,Name
2029,JAN,01,Financial Year Closing
2029,FEB,13,National Sports Day
2029,FEB,14,Id Al Fitr [Estimated]
2029,FEB,15,Id Al Fitr [Estimated]
2029,FEB,16,Id Al Fitr [Estimated]
2029,MAR,04,Banks' Holiday
2029,APR,23,Id Al Adha [Estimated]
2029,APR,24,Id Al Adha [Estimated]
2029,APR,25,Id Al Adha [Estimated]
2029,APR,26,Id Al Adha [Estimated]
2029,DEC,18,National Day
