Currency HolidaysCurrency= QAR,Year= 2017Year,Month,Day,Name
2017,JAN,01,Financial Year Closing
2017,FEB,14,National Sports Day
2017,MAR,05,Banks Holiday
2017,JUN,25,Id Al Fitr [Estimated]
2017,JUN,26,Id Al Fitr [Estimated]
2017,JUN,27,Id Al Fitr [Estimated]
2017,JUN,28,Eid Al Fitr
2017,JUN,29,Eid Al Fitr
2017,AUG,31,Id Al Adha [Estimated]
2017,SEP,01,Id Al Adha [Estimated]
2017,SEP,02,Id Al Adha [Estimated]
2017,SEP,03,Id Al Adha [Estimated]
2017,DEC,18,National Day
