Currency HolidaysCurrency= QAR,Year= 2019Year,Month,Day,Name
2019,JAN,01,Financial Year Closing
2019,FEB,12,National Sports Day
2019,MAR,03,Banks Holiday
2019,JUN,04,Id Al Fitr [Estimated]
2019,JUN,05,Id Al Fitr [Estimated]
2019,JUN,06,Id Al Fitr [Estimated]
2019,AUG,11,Id Al Adha [Estimated]
2019,AUG,12,Id Al Adha [Estimated]
2019,AUG,13,Id Al Adha [Estimated]
2019,AUG,14,Id Al Adha [Estimated]
2019,DEC,18,National Day
