Currency HolidaysCurrency= QAR,Year= 2014Year,Month,Day,Name
2014,JAN,01,Financial Year Closing
2014,FEB,11,National Sports Day
2014,MAR,02,Banks Holiday
2014,JUL,28,Id Al Fitr
2014,JUL,29,Id Al Fitr
2014,JUL,30,Id Al Fitr
2014,JUL,31,Id Al Fitr
2014,OCT,03,Id Al Adha
2014,OCT,04,Id Al Adha
2014,OCT,05,Id Al Adha
2014,OCT,06,Id Al Adha
2014,OCT,07,Id Al Adha
2014,OCT,08,Id Al Adha
2014,OCT,09,Id Al Adha
2014,OCT,11,Id Al Adha
2014,DEC,18,National Day
