Currency HolidaysCurrency= OMR,Year= 2021Year,Month,Day,Name
2021,MAR,11,Lailat Al Miraj [Estimated]
2021,MAY,13,Eid Al Fitr [Estimated]
2021,MAY,14,Eid Al Fitr [Estimated]
2021,MAY,15,Eid Al Fitr [Estimated]
2021,JUL,20,Eid Al Adha [Estimated]
2021,JUL,21,Eid Al Adha [Estimated]
2021,JUL,22,Eid Al Adha [Estimated]
2021,AUG,09,Hijri New Year [Estimated]
2021,OCT,19,Prophet's B'day [Estimated]
2021,NOV,18,National Day
2021,NOV,19,National Day
