Currency HolidaysCurrency= JOD,Year= 2024Year,Month,Day,Name
2024,JAN,01,New Year
2024,APR,10,Eid Al Fitr [Estimated]
2024,APR,11,Eid Al Fitr [Estimated]
2024,APR,12,Eid Al Fitr [Estimated]
2024,APR,13,Eid Al Fitr [Estimated]
2024,MAY,01,Labour Day
2024,MAY,26,Sun after Independence Day
2024,JUN,15,Eid Al Adha [Estimated]
2024,JUN,16,Eid Al Adha [Estimated]
2024,JUN,17,Eid Al Adha [Estimated]
2024,JUN,18,Eid Al Adha [Estimated]
2024,JUN,19,Eid Al Adha [Estimated]
2024,JUL,07,Hijri New Year [Estimated]
2024,SEP,15,Mawlid An Nabi [Estimated]
2024,DEC,25,Christmas
