Currency HolidaysCurrency= KWD,Year= 1997Year,Month,Day,Name
1997,JAN,01,New Year
1997,FEB,09,Eid Al Fitr [estimated]
1997,FEB,10,Eid Al Fitr [estimated]
1997,FEB,11,Eid Al Fitr [estimated]
1997,FEB,12,Eid Al Fitr [estimated]
1997,FEB,25,National Day
1997,FEB,26,Liberation Day
1997,APR,17,Mount Arafat Day [estimated]
1997,APR,18,Mount Arafat Day [estimated]
1997,APR,19,Eid Al Adha [estimated]
1997,APR,20,Eid Al Adha [estimated]
1997,APR,21,Eid Al Adha [estimated]
1997,APR,22,Eid Al Adha [estimated]
1997,MAY,09,Islamic New Year [estimated]
1997,MAY,10,Islamic New Year [estimated]
1997,JUL,18,Mohammed's Birthday [est.]
1997,JUL,20,Mohammed's Birthday [est.]
1997,NOV,28,Al Esra Wa al Meraj [Est.]
1997,NOV,29,Al Esra Wa al Meraj [Est.]
