Currency HolidaysCurrency= JOD,Year= 2019Year,Month,Day,Name
2019,JAN,01,New Year
2019,MAY,01,Labour Day
2019,MAY,26,Sun after Independence Day
2019,JUN,04,Eid Al Fitr [Estimated]
2019,JUN,05,Eid Al Fitr [Estimated]
2019,JUN,06,Eid Al Fitr [Estimated]
2019,JUN,07,Eid Al Fitr [Estimated]
2019,AUG,10,Eid Al Adha [Estimated]
2019,AUG,11,Eid Al Adha [Estimated]
2019,AUG,12,Eid Al Adha [Estimated]
2019,AUG,13,Eid Al Adha [Estimated]
2019,AUG,14,Eid Al Adha [Estimated]
2019,AUG,31,Hijri New Year [Estimated]
2019,NOV,09,Mawlid An Nabi [Estimated]
2019,DEC,25,Christmas
