Currency HolidaysCurrency= VND,Year= 2015Year,Month,Day,Name
2015,JAN,01,New Year
2015,FEB,16,Vietnamese TET
2015,FEB,17,Vietnamese TET
2015,FEB,18,Vietnamese TET
2015,FEB,19,Vietnamese TET
2015,FEB,20,Vietnamese TET
2015,FEB,23,Vietnamese TET
2015,APR,28,Hung King Ann.
2015,APR,30,Saigon Liberation Day
2015,MAY,01,May Day
2015,SEP,02,National Day Holiday
