Currency HolidaysCurrency= CNY,Year= 2010Year,Month,Day,Name
2010,JAN,01,New Year
2010,FEB,13,Chinese New Year Eve
2010,FEB,14,Chinese New Year
2010,FEB,15,Chinese New Year
2010,FEB,16,Chinese New Year
2010,FEB,17,Chinese New Year
2010,FEB,18,Chinese New Year
2010,FEB,19,Chinese New Year
2010,APR,05,Tomb Sweeping Day
2010,MAY,01,May Day Holiday
2010,MAY,02,May Day Holiday
2010,MAY,03,Mon after May Day Holiday
2010,JUN,14,Dragon Boat
2010,JUN,15,Dragon Boat
2010,JUN,16,Dragon Boat
2010,SEP,22,Mid Autumn Festival
2010,SEP,23,Bank Holiday
2010,SEP,24,Bank Holiday
2010,OCT,01,National Holiday
2010,OCT,02,Golden Week
2010,OCT,03,Golden Week
2010,OCT,04,National Holiday
2010,OCT,05,National Holiday
2010,OCT,06,National Holiday
2010,OCT,07,National Holiday
