Currency HolidaysCurrency= JOD,Year= 2012Year,Month,Day,Name
2012,JAN,01,New Year
2012,FEB,04,Mawlid An Nabi [Estimated]
2012,MAY,01,Labour Day
2012,MAY,24,Independence Day
2012,AUG,18,Eid Al Fitr [Estimated]
2012,AUG,19,Eid Al Fitr [Estimated]
2012,AUG,20,Eid Al Fitr [Estimated]
2012,AUG,21,Eid Al Fitr [Estimated]
2012,OCT,25,Eid Al Adha [Estimated]
2012,OCT,26,Eid Al Adha [Estimated]
2012,OCT,27,Eid Al Adha [Estimated]
2012,OCT,28,Eid Al Adha [Estimated]
2012,OCT,29,Eid Al Adha [Estimated]
2012,NOV,15,Hijri New Year [Estimated]
2012,DEC,25,Christmas
