Currency HolidaysCurrency= CNY,Year= 2019Year,Month,Day,Name
2019,JAN,01,New Year
2019,FEB,04,Chinese New Year Eve
2019,FEB,05,Chinese New Year
2019,FEB,06,Chinese New Year
2019,FEB,07,Chinese New Year
2019,FEB,08,Chinese New Year
2019,FEB,09,Chinese New Year
2019,FEB,10,Chinese New Year
2019,APR,05,Tomb Sweeping Day
2019,MAY,01,May Day Holiday
2019,MAY,02,May Day Holiday
2019,MAY,03,May Day Holiday
2019,JUN,07,Dragon Boat Festival
2019,SEP,13,Mid Autumn Festival
2019,OCT,01,National Holiday
2019,OCT,02,National Holiday
2019,OCT,03,National Holiday
2019,OCT,04,National Holiday
2019,OCT,05,National Holiday
2019,OCT,06,National Holiday
2019,OCT,07,National Holiday
