Currency HolidaysCurrency= KZT,Year= 2019Year,Month,Day,Name
2019,JAN,01,New Year
2019,JAN,02,New Year
2019,JAN,07,Eastern Orthodox Christmas
2019,MAR,08,International Womens Day
2019,MAR,21,Nauryz Meyramy
2019,MAR,22,Nauryz Meyramy
2019,MAR,25,Nauryz Meyramy
2019,MAY,01,Unity of Kazakstan
2019,MAY,07,Defenders Day
2019,MAY,09,Victory Day
2019,MAY,10,Victory Day [Bridge]
2019,JUL,08,Mon after Capital Day
2019,AUG,11,Kurban Ait
2019,AUG,30,Constitution Day
2019,DEC,02,Mon after Day of First President
2019,DEC,16,Independence Day
2019,DEC,17,Independence Day
