Currency HolidaysCurrency= OMR,Year= 2015Year,Month,Day,Name
2015,JAN,01,New Year
2015,MAY,17,Sun after Lailat Al Miraj [Estimated]
2015,JUL,19,Eid Al Fitr [Estimated]
2015,JUL,20,Eid Al Fitr [Estimated]
2015,JUL,21,Eid Al Fitr [Estimated]
2015,JUL,22,Eid Al Fitr [Estimated]
2015,JUL,23,Renaissance Day
2015,SEP,23,Eid Al Adha [Estimated]
2015,SEP,24,Eid Al Adha [Estimated]
2015,SEP,25,Eid Al Adha [Estimated]
2015,SEP,26,Eid Al Adha [Estimated]
2015,SEP,27,Eid Al Adha [Estimated]
2015,OCT,14,Hijri New Year [Estimated]
2015,NOV,18,National Day
2015,NOV,19,National Day
