Currency HolidaysCurrency= JOD,Year= 2018Year,Month,Day,Name
2018,JAN,01,New Year
2018,MAY,01,Labour Day
2018,MAY,24,Independence Day
2018,JUN,14,Eid Al Fitr [Estimated]
2018,JUN,15,Eid Al Fitr [Estimated]
2018,JUN,16,Eid Al Fitr [Estimated]
2018,JUN,17,Eid Al Fitr [Estimated]
2018,AUG,20,Eid Al Adha [Estimated]
2018,AUG,21,Eid Al Adha [Estimated]
2018,AUG,22,Eid Al Adha [Estimated]
2018,AUG,23,Eid Al Adha [Estimated]
2018,AUG,24,Eid Al Adha [Estimated]
2018,SEP,11,Hijri New Year [Estimated]
2018,NOV,20,Mawlid An Nabi [Estimated]
2018,DEC,25,Christmas
