Currency HolidaysCurrency= QAR,Year= 2018Year,Month,Day,Name
2018,JAN,01,Financial Year Closing
2018,FEB,13,National Sports Day
2018,MAR,04,Banks Holiday
2018,JUN,15,Id Al Fitr [Estimated]
2018,JUN,16,Id Al Fitr [Estimated]
2018,JUN,17,Id Al Fitr [Estimated]
2018,AUG,20,Id Al Adha [Estimated]
2018,AUG,21,Id Al Adha [Estimated]
2018,AUG,22,Id Al Adha [Estimated]
2018,AUG,23,Id Al Adha [Estimated]
2018,DEC,18,National Day
