Currency HolidaysCurrency= CNY,Year= 2007Year,Month,Day,Name
2007,JAN,01,New Year
2007,FEB,18,Chinese New Year
2007,FEB,19,Chinese New Year
2007,FEB,20,Chinese New Year
2007,FEB,21,Chinese New Year
2007,FEB,22,Chinese New Year
2007,FEB,23,Chinese New Year
2007,FEB,24,Chinese New Year
2007,MAY,01,May Day Holiday
2007,MAY,02,May Day Holiday
2007,MAY,03,May Day Holiday
2007,MAY,04,May Day Holiday
2007,MAY,05,May Day Holiday
2007,MAY,06,May Day Holiday
2007,MAY,07,May Day Holiday
2007,OCT,01,National Holiday
2007,OCT,02,National Holiday
2007,OCT,03,National Holiday
2007,OCT,04,National Holiday
2007,OCT,05,National Holiday
2007,OCT,06,National Holiday
2007,OCT,07,National Holiday
