Currency HolidaysCurrency= JOD,Year= 2025Year,Month,Day,Name
2025,JAN,01,New Year
2025,MAR,30,Eid Al Fitr [Estimated]
2025,MAR,31,Eid Al Fitr [Estimated]
2025,APR,01,Eid Al Fitr [Estimated]
2025,APR,02,Eid Al Fitr [Estimated]
2025,MAY,01,Labour Day
2025,MAY,25,Independence Day
2025,JUN,05,Eid Al Adha [Estimated]
2025,JUN,06,Eid Al Adha [Estimated]
2025,JUN,07,Eid Al Adha [Estimated]
2025,JUN,08,Eid Al Adha [Estimated]
2025,JUN,09,Eid Al Adha [Estimated]
2025,JUN,26,Hijri New Year [Estimated]
2025,SEP,04,Mawlid An Nabi [Estimated]
2025,DEC,25,Christmas
