Currency HolidaysCurrency= QAR,Year= 2023Year,Month,Day,Name
2023,JAN,01,Financial Year Closing
2023,FEB,14,National Sports Day
2023,MAR,05,Banks Holiday
2023,APR,21,Id Al Fitr [Estimated]
2023,APR,22,Id Al Fitr [Estimated]
2023,APR,23,Id Al Fitr [Estimated]
2023,JUN,27,Id Al Adha [Estimated]
2023,JUN,28,Id Al Adha [Estimated]
2023,JUN,29,Id Al Adha [Estimated]
2023,JUN,30,Id Al Adha [Estimated]
2023,DEC,18,National Day
