Currency HolidaysCurrency= QAR,Year= 2028Year,Month,Day,Name
2028,JAN,01,Financial Year Closing
2028,FEB,08,National Sports Day
2028,FEB,26,Id Al Fitr [Estimated]
2028,FEB,27,Id Al Fitr [Estimated]
2028,FEB,28,Id Al Fitr [Estimated]
2028,MAR,05,Banks Holiday
2028,MAY,04,Id Al Adha [Estimated]
2028,MAY,05,Id Al Adha [Estimated]
2028,MAY,06,Id Al Adha [Estimated]
2028,MAY,07,Id Al Adha [Estimated]
2028,DEC,18,National Day
