Currency HolidaysCurrency= JOD,Year= 2030Year,Month,Day,Name
2030,JAN,01,New Year
2030,FEB,05,Eid Al Fitr [Estimated]
2030,FEB,06,Eid Al Fitr [Estimated]
2030,FEB,07,Eid Al Fitr [Estimated]
2030,FEB,08,Eid Al Fitr [Estimated]
2030,APR,12,Eid Al Adha [Estimated]
2030,APR,13,Eid Al Adha [Estimated]
2030,APR,14,Eid Al Adha [Estimated]
2030,APR,15,Eid Al Adha [Estimated]
2030,APR,16,Eid Al Adha [Estimated]
2030,MAY,01,Labour Day
2030,MAY,03,Hijri New Year [Estimated]
2030,MAY,26,Sun after Independence Day
2030,JUL,13,Mawlid An Nabi [Estimated]
2030,DEC,25,Christmas
