Currency HolidaysCurrency= CNY,Year= 2008Year,Month,Day,Name
2008,JAN,01,New Year
2008,FEB,06,Chinese New Year Eve
2008,FEB,07,Chinese New Year
2008,FEB,08,Chinese New Year
2008,FEB,09,Chinese New Year
2008,FEB,10,Chinese New Year
2008,FEB,11,Chinese New Year
2008,FEB,12,Chinese New Year
2008,FEB,13,Chinese New Year
2008,MAY,01,Labor Day
2008,MAY,02,Labor Day
2008,MAY,03,May Day Holiday
2008,MAY,04,May Day Holiday
2008,JUN,09,Dragon Boat Festival
2008,SEP,15,Mid-Autumn Festival
2008,SEP,29,National Day
2008,SEP,30,National Day
2008,OCT,01,National Holiday
2008,OCT,02,National Holiday
2008,OCT,03,National Holiday
2008,OCT,04,Golden Week
2008,OCT,05,Golden Week
