Currency HolidaysCurrency= QAR,Year= 2022Year,Month,Day,Name
2022,JAN,01,Financial Year Closing
2022,FEB,08,National Sports Day
2022,MAR,06,Banks Holiday
2022,MAY,02,Id Al Fitr [Estimated]
2022,MAY,03,Id Al Fitr [Estimated]
2022,MAY,04,Id Al Fitr [Estimated]
2022,JUL,08,Id Al Adha [Estimated]
2022,JUL,09,Id Al Adha [Estimated]
2022,JUL,10,Id Al Adha [Estimated]
2022,JUL,11,Id Al Adha [Estimated]
2022,DEC,18,National Day
