Currency HolidaysCurrency= OMR,Year= 2012Year,Month,Day,Name
2012,JAN,01,New Year
2012,FEB,04,Mawlid An Nabi [Estimated]
2012,JUN,17,Lailat Al Miraj [Estimated]
2012,JUL,23,Renaissance Day
2012,AUG,19,Eid Al Fitr [Estimated]
2012,AUG,20,Eid Al Fitr [Estimated]
2012,AUG,21,Eid Al Fitr [Estimated]
2012,AUG,22,Eid Al Fitr [Estimated]
2012,AUG,23,Eid Al Fitr [Estimated]
2012,AUG,24,Eid Al Fitr [Estimated]
2012,OCT,25,Thur before Eid Al Adha [Estimated]
2012,OCT,26,Eid Al Adha [Estimated]
2012,OCT,27,Eid Al Adha [Estimated]
2012,OCT,28,Eid Al Adha [Estimated]
2012,OCT,29,Eid Al Adha [Estimated]
2012,NOV,15,Hijri New Year [Estimated]
2012,NOV,18,National Day
2012,NOV,19,National Day
