Currency HolidaysCurrency= JOD,Year= 2022Year,Month,Day,Name
2022,JAN,01,New Year
2022,MAY,01,Labour Day
2022,MAY,02,Eid Al Fitr [Estimated]
2022,MAY,03,Eid Al Fitr [Estimated]
2022,MAY,04,Eid Al Fitr [Estimated]
2022,MAY,05,Eid Al Fitr [Estimated]
2022,MAY,25,Independence Day
2022,JUL,08,Eid Al Adha [Estimated]
2022,JUL,09,Eid Al Adha [Estimated]
2022,JUL,10,Eid Al Adha [Estimated]
2022,JUL,11,Eid Al Adha [Estimated]
2022,JUL,12,Eid Al Adha [Estimated]
2022,JUL,30,Hijri New Year [Estimated]
2022,OCT,08,Mawlid An Nabi [Estimated]
2022,DEC,25,Christmas
